CHANGE_ANALYST,CHANGE_NO,CHANGE_DESCRITPION,REASON_FOR_CHANGE,CCB_SUBMIT_DATE
Girija Amaragol,DEV-25258,"Prod: QFX-Tomatin: Mechanical Hard tool parts qualification. This DEVIATION is to instruct Accton VN to perform qualification on the following P/Ns and per the Affected Items:

A) QFX-Tomatin: 760-178445: Hard tooled parts/assy by Interplex VN as multi-source

760-178440 - Assy, Sub, Rack Rail Front, RMK, 2RU, V2, QFX-Tomatin  
760-178441 - Assy, Sub, Chassis Side U-Bracket, RMK, 2RU, V2, QFX-Tomatin  
760-178444 - Assy, Sub, Floating Rail, RMK, 2RU, V2, QFX-Tomatin

B) Qualification samples procurement info:

- Interplex VN has already built & sent the HT samples/assy to Accton VN for qualification
- Accton VN did the HT samples FFF Check

C) Qualification instructions to Accton VN:

1. Qualification to be done through standard incoming inspection process (In-process inspection & assembly check).
2. Items will go through standard production assembly process to evaluate form, fit and functional checks. In addition, cosmetics compliance as well.
3. Assemble the respective items according to Assy DWG & findings to be shared in FFF.
4. Compare the qualifications of new HT items wrt older HT items. Report all findings during the overall assembly process.
5. Accton VN to release the qualification build report (i.e. inspection and FFF results) after completing the build & same will be attached in MCO (Post DEV release).

Notes:
- No functional tests are required as this is a mechanical hard tooled parts qualification. Change will not impact mfg. test and the electrical function of the product.
- Qual was already completed & this deviation is just for record purpose. AVL update to be made in Agile thru MCO post DEV release.",This DEV will qualify the mechanical hard-tooled production solution parts from Interplex VN as part of VE qual.,27:07.0
Girija Amaragol,DEV-25301,"Preliminary/Proto: PTX-Octomore: This deviation allows flex to accept the  WUS PCBs which are built with ""EM892K+EM891+MC24"" and ""EM890K(A)+MC24""Laminate material as this material has not been UL Certified..

FAB PN#: 511-183443, FAB, PCB, Teeling Base with Enhanced Stiffener, 43.2T BXF-based, 54 Ports, 800G, Etch1, PTX-Octomore

Build: P1C , Build qty: 22 + 9 pcs.

- Do not affix the DEV label",This is a tracking deviation. Since this is the proto build WUS didn't complete the UL certification for Hybrid material stackup and WUS plan to complete the UL Certification before Pilot build.,04:19.0
Sarangabani S,ECO-59404,"Production: Releasing Rev 04 of SPEC-9744 document (Juniper Component Derating Design Requirements) to include below changes:

1) Values of ""Minimum Temperature Derating Factor wrt Tj (°C) (To be followed for Juniper designs)"" and ""Minimum Temperature Derating Factor wrt Ta/Tc (°C) (To be followed for Juniper designs, ONLY if Tj value not available in Agile)"" for Commodity Code ""21001"" are being updated from 10°C to 20°C for POL Input Caps (for ≥12V and < 12V) by adding new separate rows as per NPI Hardware Engineering feedbacks.

2) Updated Maximum voltage allowed (%), Maximum current allowed (%) and Justification values for Commodity Codes "" 23001,23002,23003,25002"".


This is Juniper internal document. Hence no CM / ODM notification is required.

Note: PDC to place latest revision attachment file in shared location "" \\jnprcorpprddat1\agile_data\Control_Documents\JNPR_Component_Derating_SPEC-9744_reference_copy\",Releasing Rev 04 of SPEC-9744 document (Juniper Component Derating Design Requirements.,28:52.0
Sherry Nguyen,M38754,"Prod: MCO to change the LC of TE connectivity PN for the JPN 450-149795 as mentioned below 

1. Change existing TE Connectivity Ltd MPN 2302014-1 Lifecycle from ""Active"" to ""Deplete""
2. Add new TE Connectivity Ltd MPN 2481259-1 to ""Active""

Alternate Part qualified in Alpha Vietnam in Onyx platform where the issue was reported. Since the same part number is used in Gamora, changing the part number through an MCO. Alpha has to update there HBOM based on the results.Issue at Alpha occured and the test report from Alpha as well as TE attached in MCO.

Qual report and PCN document are attached.
Z2 ticket 14873 submitted for Compliance update of new PN  2481259-1",PCN received for MPN change.,24:00.0
Girija Amaragol,M38775,"Proto: MCO to update JPN Part Type, Commodity Code & Description as illustrated below

Please make the following updates to JPN 540-177624

New Commodity Code: 45009 - IC Socket

New Description: Conn Assy, LGA4677 IC socket, Carrier Assembly-E1B, SRX-Casino Royale

Note:
PDC will update Commodity Code and Description upon approval before release this mco","Correction of JPN Part Type, Commodity Code & Description as per discussion had with GCMs & CEs",46:43.0
Pooja Siraskar,M38766,"Proto:MCO to Attach following FAI report into respective JPN attachments.

      JPN	                                     File Name
560-188563	560-188563_programmable_first_article_inspection.xlsx
560-188564	560-188564_programmable_first_article_inspection.xlsx
560-188565	560-188565_programmable_first_article_inspection.xlsx
560-188566	560-188566_programmable_first_article_inspection.xlsx
560-188926	560-188926_programmable_first_article_inspection.xlsx

Note to PDC: Once FAI report is attached, update "" File Category"" field as ""FAI Report"" for the respective files in the ""Attachments"" section.",FVN completed programming procedure for affected JPNs and provided the FAI reports. Hence attaching the reports into JPN attachments.,32:03.0
Sherry Nguyen,M38771,"Prod: EX2300-C-MGNT-MNT AVL changes.

EX2300-C-MGNT-MNT
- Add Accton Irvine to EX2300-C-MGNT-MNT AVL.",Add additional AVL for EX2300-C-MGNT-MNT.,40:01.0
Abel Alcantar,DEV-24872A,"Proto: PTX-Octomore: 750-175158., Assy, Top, Teeling 800G QSFPDD, MezzA, 36 Ports, PTX-Octomore.

Apply kepton tape on the GND stitch vias as per the attached instruction and make sure do not to place the tape on the busbar PCB PAD.

Build: P1B
Qty: 88 pcs.

- Affix the DEV-24872 label.
- Track the affected SNs.","REASON FOR EXTENSION (A): Build still in progress. New ""Effective To"" Date: 03/15/2025

Discovered busbar contact very close to the GND stitching Vias and it will cause potential short issues. This issue will be fixed in net etch.",01:29.0
Pradeep Holla,DEV-24979A,"Proto: PTX-Octomore.750-173325/750-173322  Assy, Top, 43.2T BXF-based 54x 800G QSFP-DD800, PTX-Octomore  This Deviation is to request Flextronics-Penang to perform the following changes in the P1B build.
Build :P1B
Affected assy:
750-173325 Assy, Top, 43.2T BXF-based 54x 800G QSFP-DD800, PTX-Octomore
750-175158 QDD Mezz A build qty 40
750-175159 QDD Mezz B build qty 40
750-173322 Assy, Top, 43.2T BXF-based 54x 800G OSFP, PTX-Octomore
750-175154 OSFP Mezz A build qty 54
750-175157 OSFP Mezz B build qty 54
Use attached ISP programming guideline to upgrade the MPM54524 & FPGA.","Reason for extension: P1B is still in progress/ extend till 3/31/25

To improve the OSFP/QDD functional performance",45:20.0
Richard Hood,DEV-24977,"Proto: PTX-Aegon: Applying TPCM7200 TIM to BXF dice then baking Aegon LC. Include increasing Torque when assembling the pressure plate: This Deviation is to instruct Flextronics-Penang to perform the following.

750-173866 - Assy, Top, LC-36x800G, PTX-Aegon, etch2
750-173865 - Assy, Sub, Main Board, LC, 36x800G, PTX-Aegon, etch2
750-153146 - Assy, Top, Aegon PMB, PTX-Aegon
540-178433 - Fab, Plastic, Alignment Plate, HS Spring, BXF, PTX-Aegon
540-185060 - Fab, Alignment Plate, HS Spring, BXF, PTX-Aegon, V2
420-185390 - Hdwr, Spring, Compression, 0.5in OD, 0.75in Free Length, 0.062in Wire DIA Max, k=62.4 lb/in, Closed + ground, Music Wire, Zn
420-164923 - Hdwr, Spring, Compression, 0.48in OD, 5/8in L, 0.35in CL, k=56lb/in, Closed + ground, Music Wire, Zn
420-011814 - Hdwr, Screw, Flat Hd, Phil, 6-32 x .375"""", Stl, Zn, w/Nylon Patch, Undercut
430-182806 - PCM,TIM PAD,19.4x27mm,Tpcm 7200, 0.2mm thick, BXF fabric
430-182808 - PCM, TIM PAD,29x49mm,Tpcm 7200, 0.2mm thick, BXF SoC

Flextronics-Penang (FMY) to follow the following process for the Tpcm 7200 TIM application to BXF dice surface. Instruct FMY to install alternative heatsink spring and alignment plate and bake the 750 assemblies to melt/bond phase change material. This activity is to be performed on the remaining P2A2 LCs that have not yet started mechanical assembly.

1. Clean the BXF H/S Pedestals and the ASIC die surfaces.
2. Trim 430-182806 to 17.5x25.5mm and trim 430-182808 to 29x47mm
3. Apply the Tpcm7200 trimmed TIM pads onto the BXF dice, care should be taken not to tear the TIM pads or form air pockets.
4. Mount the H/S's per the assembly steps on the assembly drawing
        - Use 420-185390 in place of 420-164923
        - Use 540-185060 in place of 540-178433
        - Torque 420-011814 to 10lbs.in when assembling the pressure plate        
5. Do not assemble the PMB Top Assy, 750-153146, to the Aegon LC Top Assy, 750-173865.
        - If present, remove 750-153146, PMB Assemble, from the 750-173865 Top Level Aegon Assembly and set aside. The PMB Assy has a battery that may be damaged when exposed to 75C ambient temperatures.
6. 750-173865 needs to be baked using the following temperature profile:
         - Ramp up from 25C to 75C at 2C/minutes.  [25 minutes]
         - Hold 75C for two hours.
         - Ramp down using Ambient Temperature
         - Total Time = ~2 hours, 50 minutes.

7. After baking, install/re-install the PBM Assy and complete Assy process. 
8. Baking must be performed prior to line card first power up.
9. Apply deviation label.",Factory DOE shows better yield when attaching the TCPM to the die surface. Increasing Torque and using a different spring arrangement to improve heatsink spring pressure and distribution. Baking will ensure that TIM melts and creates a thin bondline between BXF ASIC and heatsinks. Changes are required to improve ASIC cooling performance.,27:45.0
Sarangabani S,DEV-25297,"Prod: This DEV is to allow FOXCONN-VIETNAM to use old DC material only in Q1/2025 to support production build based on good result of solderability test.

1. JPN 240-126496
Description: Xtal, 25MHz, 20ppm tolerance, 20ppm stability, 20pF, 30 Ohm ESR, Extended Temp, SMD-4, 3.2x2.5mm
MPN: FL2500316Z
Supplier: DIODES, INC.
Site balance: FOXCONN JUAREZ MEXICO (CM site)
Total Qty to use: 2246 pcs (DC 2153); 13 pcs (DC 2206); 30 pcs (DC 2220)


2. JPN 240-128943
Description: Xtal, 49.152MHz, 20ppm Tol, 20ppm Stability, 12pF, 40Ohm, Industrial Temp, SMD-4, 3.2x2.5mm	
MPN: 7M49170002
Supplier: TXC CORPORATION INC
Total Qty to use: 1615 pcs
DC: 2213",To allow FOXCONN-VIETNAM to use old DC material only in Q1/2025 to support production build based on good result of,31:03.0
Pooja Siraskar,M38736,"Proto: MCO to update AVL as illustrated below

Moving Zymet MPN under respective JPN to ""Prod_IPQ"" status

110-151981 => ZYMET INC USA => UA-2605 BT2

Note to PDC Team: Please make the redlining for Prod_IPQ move
Note to RoHS CE Review Group: # 14799 raised in Z2 for compliance field update",Moving Zymet MPN to Prod_IPQ status prior to Proto exit,26:18.0
Girija Amaragol,M38757,"1. Prod:  Changing the life cycle status of the below Hisense Broadband MPNs to Prd_IPQ.

              JPN                       MPN
           740-157138              LCQ638BS-PC+JP3  
           740-157132              LCQ6380S-PC+JP4

2. Removing LCQ6380S-PC+JP3  from AVL under JPN   740-157132 

3. To add EEPROM MPN  under AVL for

           Supplier MPN             EEPROM MPN
           LCQ638BS-PC+JP3            2E2ZGA
           LCQ6380S-PC+JP4            2E5ZFA

Note: JPN Rev'up proposed with LCQ638BS-PC+JP & LCQ6380S-PC+JP4,  will be implemented when the parts will be moved to Active. The updated P-Spec also will be added under JPN level attachment with the 'Active' LC move.","Data pack review is completed for the affected MPN and documents are attached in the MPN attachments.

Removing LCQ6380S-PC+JP3 from AVL as Juniper has no qual plan for the part & currently qualifying the next Gen LCQ6380S-PC+JP4",23:41.0
Girija Amaragol,DEV-24935,"Prod: The purpose of this Deviation is to allow Flex Penang to make the following part(s) substitutions for qualification purposes

New Qual Part(s) are from,

Qual MPN & MFR => PMEG100V100ELPE & Nexperia

A.	Replace JPN: 320-023403 with the above-mentioned MPN(s) on the following as described in C

B.	Mfg.Partner to work request MFR free of charge samples that will be shipped to Mfg.Partner directly from MFR, Mfg.Partner shall copy Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN & CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator on all samples related communication with MFRs.

C.	Factory Instructions:

C1. Build : 711-XXXXX -> 750-XXXXX quantity = 10 each for each new supplier with MPN under qual Build path,

320-023403 -> 711-116522 -> 750-116523 -> JNP10008-SF2-BB -> Required Assy Qty ten (10)
320-023403 -> 711-118931 -> 750-118932 -> JNP10016-SF3-BB -> Required Assy Qty ten (10)
320-023403 -> 711-116522 -> 750-116523 -> MX10K8-4F-P128-AC -> Required Assy Qty ten (10)

C2. Qualification samples will be only new build. However, FGI may be used for qualification samples where the SKU being requested in the DEV has not had any demand 90 days after the DEV release date

** Qualification tests to be performed – DVT & Full MFG test ** 

-	DVT test is required - (Fully loaded the system with line cards under test) 
-	All Qual Assemblies need to go through full MFG test (production test and capture yield report In spared sheet and add in MCO when initiated to add 2nd source MPNs
-	Perform DVT per below  (whichever is applicable)
o	PROC-9980 for products FRS in 2020  OR 
o	PROC-8423 for products released before 2020 DVT in Fully loaded  system

Specific test: HOT swap / power cycle / system reboot (whichever applicable for each DUT) test to be perform 100 times at  25C, COLD and HOT for each DUT

C3.  Qualification units need to go through standard manufacturing and Test processes with the following specific actions:

- Install DEV-24935 on all Qual sample assemblies.
- Record all serial numbers with DEV label and put on the NO SHIP list
- Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT-   HTR reports CM-DVT-HTR-reports@juniper.net and the DEV Originator.  
- Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#

C4. The qualification assemblies shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT.

C5. After completion of DVT, prepare and review HTR report with the Juniper On site TE team and then email to CM-DVT-HTR alias CM-DVT-HTR-reports@juniper.net. and the DEV Originator. Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.
    
D. Completion / Closure

The qualification units are not to be used for any other DVT and customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO / MCO has been signed off.",Qualifying Nexperia as potential replacement,46:05.0
Girija Amaragol,DEV-25302,"Preliminary_BOM/Proto/Prod:	This DEV is to allow Flex Penang to use old date code inventory for oscillator/crystal  (per attached PN) to support production.

240-007738
240-014105
240-014473
240-023128
240-023480
240-026719
240-031037
240-037947
240-044903
240-045828
240-053071
240-054786
240-054812
240-054840
240-055138
240-067841
240-079738
240-094352
240-095229
240-114218
240-115464
240-115523
240-115912
240-126496
240-139985
240-153669

No deviation label required.","This DEV is to allow Flex Penang to use old date part to support production.
PN:240-007738, DC:2240, Qty:969, MFG PN:VCC1-B3G-2M04800000 ,MFG:MICROCHIP , Remark:24mth & above
PN:240-014105, DC:2128, Qty:21, MFG PN:VCC6-QCB-125M000000 ,MFG:MICROCHIP , Remark:24mth & above
PN:240-014473, DC:2119, Qty:6, MFG PN:S1803A-8.1920(T) ,MFG:DIODES , Remark:24mth & above
PN:240-023128, DC:2222, Qty:500, MFG PN:TS250F22CLT ,MFG:CTS , Remark:24mth & above
PN:240-023128, DC:2313, Qty:46, MFG PN:9C25077004 ,MFG:TXC , Remark:Above 21mth
PN:240-023480, DC:2106, Qty:276, MFG PN:EXS00A-CS00871 ,MFG:NDK , Remark:24mth & above
PN:240-026719, DC:2314, Qty:11, MFG PN:9C25070007 ,MFG:TXC , Remark:Above 21mth
PN:240-031037, DC:2209, Qty:586, MFG PN:7C50077002 ,MFG:TXC , Remark:24mth & above
PN:240-031037, DC:2231, Qty:560, MFG PN:7C50077002 ,MFG:TXC , Remark:24mth & above
PN:240-031037, DC:2309, Qty:19, MFG PN:7C50077002 ,MFG:TXC , Remark:Above 21mth
PN:240-037947, DC:2115, Qty:45, MFG PN:MC-306 32.7680K-E0:ROHS ,MFG:EPSON , Remark:24mth & above
PN:240-037947, DC:2139, Qty:36, MFG PN:MC-306 32.7680K-E0:ROHS ,MFG:EPSON , Remark:24mth & above
PN:240-044903, DC:2245, Qty:613, MFG PN:VCC1-B3F-2M04800000 ,MFG:MICROCHIP , Remark:24mth & above
PN:240-045828, DC:2308, Qty:85, MFG PN:VC-708-ECW-FNXN-156M250000 ,MFG:MICROCHIP , Remark:Above 21mth
PN:240-053071, DC:2215, Qty:31, MFG PN:531EC125M000DGR ,MFG:SKYWORKS , Remark:24mth & above
PN:240-054786, DC:2226, Qty:1345, MFG PN:9H03200031 ,MFG:TXC , Remark:24mth & above
PN:240-054812, DC:2312, Qty:163, MFG PN:512805 ,MFG:RAKON , Remark:Above 21mth
PN:240-054812, DC:2314, Qty:231, MFG PN:512805 ,MFG:RAKON , Remark:Above 21mth
PN:240-054840, DC:2306, Qty:500, MFG PN:VC-820-EAE-KAAN-33M3330000 ,MFG:MICROCHIP , Remark:Above 21mth
PN:240-055138, DC:2304, Qty:8, MFG PN:VC-820A-EAE-KAAN-25M0000000 ,MFG:MICROCHIP , Remark:Above 21mth
PN:240-067841, DC:2303, Qty:185, MFG PN:STP3214LF ,MFG:RAKON , Remark:Above 21mth
PN:240-079738, DC:2134, Qty:60, MFG PN:7X33070001 ,MFG:TXC , Remark:24mth & above
PN:240-094352, DC:2314, Qty:1118, MFG PN:7M48020003 ,MFG:TXC , Remark:Above 21mth
PN:240-095229, DC:2203, Qty:98, MFG PN:7M48072001 ,MFG:TXC , Remark:24mth & above
PN:240-114218, DC:2302, Qty:22, MFG PN:TG5032CGN 25.0000M-CMGHNA0 ,MFG:EPSON , Remark:24mth & above
PN:240-114218, DC:2306, Qty:293, MFG PN:TG5032CGN 25.00000MHZ CMGHNA ,MFG:EPSON , Remark:Above 21mth
PN:240-115464, DC:2207, Qty:11, MFG PN:531AB50M0000DGR ,MFG:SKYWORKS , Remark:24mth & above
PN:240-115523, DC:2032, Qty:14, MFG PN:7XA1470001 ,MFG:TXC , Remark:24mth & above
PN:240-115523, DC:2302, Qty:45, MFG PN:7XA1470001 ,MFG:TXC , Remark:24mth & above
PN:240-115523, DC:2312, Qty:233, MFG PN:7XA1470001 ,MFG:TXC , Remark:Above 21mth
PN:240-115912, DC:2105, Qty:284, MFG PN:7X02070003 ,MFG:TXC , Remark:24mth & above
PN:240-126496, DC:2201, Qty:1194, MFG PN:VXM7-1372-25M0000000TR ,MFG:MICROCHIP , Remark:24mth & above
PN:240-126496, DC:2247, Qty:28, MFG PN:FL2500316Z ,MFG:DIODES , Remark:24mth & above
PN:240-139985, DC:2217, Qty:12, MFG PN:8W48070009 ,MFG:TXC , Remark:24mth & above
PN:240-153669, DC:2225, Qty:799, MFG PN:FL6000011 ,MFG:DIODES , Remark:24mth & above",30:33.0
Sherry Nguyen,DEV-25295,"Proto: PTX_Octomore,711-168970 Assy, PCA, FTC board enhanced, PTX-Octomore. This deviation authorizes Flex to make the following changes in the P1A build.

Instructions:
Allow flex to use old DC parts for following parts.
JPN:320-000173
DC:2139
Qty:100
Supplier:DIODES 

JPN:310-011999
DC:2207
Qty:100
Supplier:TEXAS INSTRUMENTS 

JPN:310-025867
DC:2146
Qty:150
Supplier:TEXAS INSTRUMENTS 


JPN:320-016692
DC:2221
Qty:200
Supplier:NEXPERIA 

JPN:310-025867
DC:2301
Qty:100
Supplier:DIODES 

JPN:320-016692
DC:2203
Qty:200
Supplier:VISHAY

-Track the SNs
- Affix the DEV label",Due to part shortage,58:24.0
Pradeep Holla,ECO-61463,"Proto: Release the following parts to Prototype life cycle. 

520-188612 Insulator, SIB Guide, Long, PTX-Aegon  
520-188613 Insulator, SIB Guide, Short, PTX-Aegon  
540-188604  Fab, Sheetmetal, Spacer, Helical Ejector, Line Card, PTX-Aegon","Aegon project.  Release 3 parts to prototype so that we can purchase them to possibly use in a prototype build to make minor improvements to the angular mating of the Molex Impulse connectors.
Currently these parts report nowhere.  If we decide to implement changes to include these parts, we will ECO them onto the Aegon SIB and Line Card BOM's.",49:11.0
